COMPTE RENDU DE LA PRODUCTION 

RÉSULTAT :;2074
 
CHAINES ACTIVES;ÉLÉMENTS CONSOMMÉS;ÉLÉMENTS PRODUITS 
Chocolat 30 %(C001) - Niveau 1;pate cacao(3.0), lait en poudre(5.0), beurre cacao(2.0), Sucre(3.0);Chocolat 30 %(10.0); 
Chocolat 40 %(C002) - Niveau 1;pate cacao(4.0), lait en poudre(4.0), beurre cacao(2.0), Sucre(2.0);Chocolat 40 %(10.0); 
Chocolat 50 %(C003) - Niveau 1;pate cacao(5.0), beurre cacao(5.0), Sucre(2.0);Chocolat 50 %(10.0); 
Pate biscuit Q1(C004) - Niveau 1;farine(5.0), Sucre(3.0), huile palme(2.0), Poudre a lever(1.0);Pate biscuit Q1(10.0); 
Pate biscuit Q2(C005) - Niveau 1;farine(5.0), Sucre(3.0), huile colza(2.0), emulsifiant(1.0), Poudre a lever(1.0);Pate biscuit Q2(10.0); 
Pate biscuit Q3(C006) - Niveau 1;farine(5.0), Sucre(3.0), beurre(2.0), Poudre a lever(1.0);Pate biscuit Q3(10.0); 
Gateau marque A(C007) - Niveau 1;Pate biscuit Q3(5.0), Chocolat 50 %(1.0);Gateau marque A(5.0); 
Gateau marque B(C008) - Niveau 1;Pate biscuit Q2(5.0), Chocolat 40 %(1.0);Gateau marque B(5.0); 
Gateau marque C(C009) - Niveau 1;Pate biscuit Q1(5.0), Chocolat 30 %(1.0);Gateau marque C(5.0); 
Pate levée huile(C010) - Niveau 1;farine(20.0), huile colza(5.0), Sucre(5.0), levure(2.0);Pate levée huile(25.0); 
Pate levée beurre(C011) - Niveau 1;farine(20.0), beurre(5.0), Sucre(5.0), levure(2.0);Pate levée beurre(25.0); 
Brioche(C012) - Niveau 1;Pate levée huile(10.0);Brioche(10.0); 
Brioche beurre(C013) - Niveau 1;Pate levée beurre(10.0);Brioche beurre(10.0); 
